ID,L1,L2,L3,N1,N2,N3,LA,NA
C39015,0.21082,0.467589,0.3215849,0.21082,0.467589,0.3215849,263.2372648,248.7127059
C39017,0.1612556,0.363866,0.4748949,0.1612556,0.363866,0.4748949,262.1188585,247.9537329
C39019,0.191712,0.465622,0.3426786,0.191712,0.465622,0.3426786,263.5524056,247.915439
C39021,0.1600311,0.449011,0.3909629,0.1600311,0.449011,0.3909629,262.0633843,247.1373287
C39023,0.1970381,0.392143,0.4108136,0.1970381,0.392143,0.4108136,262.4781118,247.8819427
C39025,0.1433817,0.365881,0.4907429,0.1433817,0.365881,0.4907429,262.9689893,247.7088669
C39027,0.171459,0.426902,0.4016492,0.171459,0.426902,0.4016492,262.105752,247.0050365
C39029,0.1751373,0.448459,0.3764094,0.1751373,0.448459,0.3764094,262.4872952,246.6444121
C39031,0.1943452,0.478938,0.326711,0.1943452,0.478938,0.326711,262.4992072,248.482632
C39033,0.160582,0.449907,0.3895185,0.160582,0.449907,0.3895185,261.781455,248.8132427
C39035,0.2120966,0.3366125,0.4512929,0.2120966,0.3366125,0.4512929,262.3554031,248.5924336
C39037,0.1637291,0.469836,0.3664462,0.1637291,0.469836,0.3664462,262.7266625,248.578171
C39039,0.1627925,0.439996,0.3972083,0.1627925,0.439996,0.3972083,263.513426,247.4495639
C39041,0.0684166,0.269682,0.6618964,0.0684166,0.269682,0.6618964,262.413635,247.8953804
C39043,0.1624388,0.397168,0.4404144,0.1624388,0.397168,0.4404144,263.7453589,247.2325817
C39045,0.1300801,0.365715,0.5041865,0.1300801,0.365715,0.5041865,262.867711,247.341972
C39047,0.1935555,0.475351,0.331091,0.1935555,0.475351,0.331091,263.2998826,247.3734122
C39049,0.1740374,0.304928,0.5210243,0.1740374,0.304928,0.5210243,263.0546017,247.2640413
C39051,0.153258,0.420917,0.4258129,0.153258,0.420917,0.4258129,262.6345167,248.3320843
C39053,0.2359269,0.419578,0.3445039,0.2359269,0.419578,0.3445039,262.9634266,247.8330355
C39055,0.1172214,0.319583,0.5631913,0.1172214,0.319583,0.5631913,263.2860777,247.1822024
C39057,0.1161578,0.304585,0.5792681,0.1161578,0.304585,0.5792681,262.5503808,247.8476988
C39059,0.2214228,0.42914,0.3494327,0.2214228,0.42914,0.3494327,263.2766143,247.7918085
C39061,0.1822155,0.321989,0.4957746,0.1822155,0.321989,0.4957746,262.4070965,248.7266775
C39063,0.1220288,0.381518,0.4964515,0.1220288,0.381518,0.4964515,262.477632,246.8074995
C39065,0.1727655,0.470738,0.3564873,0.1727655,0.470738,0.3564873,263.4042312,247.6198971
C39067,0.2009847,0.463323,0.3357066,0.2009847,0.463323,0.3357066,263.0271024,248.3726414
C39069,0.1555214,0.437996,0.4064762,0.1555214,0.437996,0.4064762,262.4704213,247.6082658
C39071,0.2175705,0.437446,0.3449765,0.2175705,0.437446,0.3449765,263.0888935,249.2812446
C39073,0.1830226,0.448354,0.3686363,0.1830226,0.448354,0.3686363,262.4007879,246.8724731
