"ID","mean","RMSE","Lower_Bound","Upper_Bound","CV","PCT_PVT_BELOW_150","PCT_PVT_BELOW_100","ACS_MEDIAN_INC","PCT_EDU_LESS_HS","PCT_EDU_HS","PCT_EDU_MORE_HS","PCT_ENG_NOT_WELL","PCT_HISP","PCT_WHITE","PCT_BLACK","PCT_ASIAN","PCT_NATIVE_A","PCT_OTHER_RACE","PCT_OCP_MGT","PCT_OCP_SER","PCT_OCP_SALE","PCT_OCP_NAT_RS_MANT","PCT_OCP_PROD","PCT_OCP_MILITARY","PCT_MALE_16UP","PCT_LAB_EMP","PCT_LAB_UNEMP","PCT_NOT_LAB","PCT_owner_OCP","PCT_foreign_5","PCT_foreign_6_20","PCT_foreign_LS_20","PCT_foreign_MO_21","PCT_NO_HLTH_INS","ADJ_GRS_IINCOME","SNAP","Pct_Eligible_for_Medicaid","abe_rate","ase_rate","esl_rate"
"C4023",0.243889,0.0424976756003364,0.1612875,0.327005,0.174250071140299,0.400143071,0.218573194,38941,0.252067264,0.261621847,0.486310889,0.162493277,0.832191119,0.850473715,0.00416783,0.007669667,0.003802608,0.000386706,0.276216467,0.194054117,0.296248984,0.105040065,0.126582279,0.001858089,0.470550325,0.498587038,0.05256217,0.215523738,0.567613793,0.076933202,0.38473182,0.461665021,0.538334979,0.153500763,100675.875,0.255373922,16.95,0.54237037,0.067925926,0.389703704
"C4025",0.4918532,0.032445967554853,0.42968,0.5552375,0.0659667712944695,0.25395221,0.146779077,46638,0.098306722,0.257975914,0.643717364,0.188790151,0.1405488,0.919766133,0.005302261,0.008573285,0.018290284,0.000365989,0.317457966,0.22914352,0.241611733,0.112806459,0.098758117,0.000222206,0.485562598,0.41211473,0.034758172,0.201375536,0.580528825,0.070639082,0.482570497,0.553209579,0.446790421,0.127560777,617861.5,0.110835251,8.12,0.54237037,0.067925926,0.389703704
"C4027",0.2580819,0.0362026705609648,0.1879975,0.329205,0.140275899088486,0.363958997,0.204763428,41467,0.282796525,0.255640646,0.461562829,0.282347922,0.61966039,0.727913543,0.020807508,0.012897704,0.011318694,0.001711823,0.241369576,0.226111739,0.225197613,0.177219444,0.117801258,0.012300371,0.513150363,0.464991273,0.063467008,0.203216811,0.530981115,0.117672855,0.460221459,0.577894314,0.422105686,0.173022057,407321.875,0.195730641,15.18,0.54237037,0.067925926,0.389703704
"C41001",0.506949,0.0321990521282531,0.44398,0.5695575,0.0635153676765376,0.275412797,0.150864293,41722,0.095867209,0.316056911,0.588075881,0.106983655,0.038365565,0.944978166,0.004054897,0.007735496,0.014971928,0.00268247,0.34478268,0.155135927,0.211948559,0.152042976,0.134624776,0.001465082,0.506878858,0.442777778,0.033888889,0.205079365,0.535726418,0.169934641,0.54248366,0.712418301,0.287581699,0.102495321,36918.625,0.167165882,17.46,0.434562179,0.147751141,0.417686681
"C41003",0.6793451,0.0429740608494926,0.59798,0.76391,0.0632580714124421,0.303374752,0.214983753,52015,0.049992414,0.143301472,0.806706114,0.104115154,0.069750157,0.871385284,0.009833629,0.063861414,0.006540507,0.00313304,0.494605809,0.186923174,0.184408399,0.067546838,0.066415189,0.000100591,0.504185874,0.549071381,0.044588648,0.219154173,0.52484572,0.324434824,0.414021164,0.738455989,0.261544012,0.077468412,304815.75,0.131079461,13.39,0.434562179,0.147751141,0.417686681
"C41005",0.602372,0.0328884670860055,0.5387975,0.66632,0.0545982666624702,0.15267684,0.092273145,68915,0.067260487,0.224280299,0.708459215,0.160959584,0.082292951,0.889671795,0.009124813,0.040514777,0.007329726,0.00269896,0.382006943,0.154643121,0.260348613,0.08413381,0.118601721,0.000265792,0.487694485,0.589184764,0.037945253,0.158531307,0.646712835,0.07569132,0.532041401,0.607732721,0.392267279,0.080447227,1756790,0.12192524,14.97,0.434562179,0.147751141,0.417686681
"C41007",0.5557375,0.0345790910419474,0.490355,0.6226025,0.062221986175033,0.25967419,0.140363695,47492,0.080554736,0.256048982,0.663396282,0.170179789,0.081625066,0.905523101,0.007700478,0.011205523,0.007036644,0.001991503,0.302929269,0.219635628,0.24291498,0.096094308,0.12854251,0.009883306,0.494753194,0.515797008,0.037285709,0.181895641,0.437468563,0.078303426,0.561718325,0.640021751,0.359978249,0.109771641,107824.625,0.189846309,19.56,0.434562179,0.147751141,0.417686681
"C41009",0.4952602,0.0324872291218567,0.429895,0.55645,0.065596284784961,0.234751441,0.134370609,55146,0.096476702,0.325376884,0.578146414,0.156147733,0.046349079,0.927303857,0.006103334,0.011239803,0.011582234,0.002497734,0.279587053,0.190464316,0.224726946,0.122437784,0.182783901,0,0.496150829,0.510277438,0.044917195,0.220698653,0.657072488,0.096627756,0.473411154,0.570038911,0.42996109,0.09586061,154255.875,0.195026662,19.3,0.434562179,0.147751141,0.417686681
"C41011",0.4737878,0.0353149225528659,0.40927,0.5433125,0.0745374248827553,0.319879285,0.180959912,39110,0.110546188,0.324473334,0.564980478,0.118950239,0.062118709,0.886105109,0.013091002,0.01204245,0.022988688,0.001477504,0.281959275,0.224590377,0.226622282,0.123557131,0.140504085,0.00276685,0.488999344,0.415327664,0.048124062,0.229734867,0.547882287,0.133728312,0.423190859,0.556919171,0.44308083,0.122934672,148769.375,0.248301301,23.16,0.434562179,0.147751141,0.417686681
"C41013",0.4208639,0.0360238243765527,0.353895,0.490055,0.085594949760606,0.305821353,0.17709168,39583,0.124063228,0.364002771,0.511934001,0.074353448,0.074435174,0.919002531,0.004593606,0.0015937,0.011155901,0.00065623,0.22736921,0.23798227,0.277313023,0.091522038,0.16581346,0,0.485142443,0.442373389,0.048007192,0.200359604,0.610890802,0.002525253,0.388888889,0.391414141,0.608585859,0.104434236,53696.875,0.229929001,13.12,0.434562179,0.147751141,0.417686681
"C41015",0.516494,0.0345935340287256,0.4460975,0.5805025,0.0669776106377337,0.277647695,0.152287464,38661,0.103289029,0.27624465,0.620466321,0.093978102,0.065149347,0.915936326,0.003890181,0.005723484,0.019763906,0.000223574,0.322805139,0.236349036,0.238222698,0.131022484,0.071466809,0.000133833,0.484305392,0.372177441,0.045267709,0.204665563,0.543776246,0.020253165,0.303797468,0.324050633,0.675949367,0.099400823,57700.125,0.179973067,17.56,0.434562179,0.147751141,0.417686681
