ID,N3,N3-CL,N3-CU,N3-CV,L1,L1-CL,L1-CU,L1-CV,L2,L2-CL,L2-CU,L2-CV,L3,L3-CL,L3-CU,L3-CV,N1,N1-CL,N1-CU,N1-CV,N2,N2-CL,N2-CU,N2-CV,LA,LA-CL,LA-CU,LA-CV,NA,NA-CL,NA-CU,NA-CV
C17129,0.3990,0.3416,0.4447,0.0671,0.1286,0.0967,0.1578,0.1210,0.3689,0.3242,0.4163,0.0626,0.5025,0.4595,0.5452,0.0433,0.2185,0.1818,0.2570,0.0828,0.3825,0.3407,0.4382,0.0670,273.7344,265.7444,282.0400,0.0151,260.7767,251.7825,270.0287,0.0174
C17167,0.4246,0.3761,0.4674,0.0560,0.1501,0.1205,0.1779,0.0955,0.3252,0.2835,0.3673,0.0658,0.5247,0.4855,0.5641,0.0381,0.2516,0.2139,0.2826,0.0685,0.3239,0.2861,0.3737,0.0713,273.7372,267.2642,280.1904,0.0119,259.8018,252.5277,266.8463,0.0136
C17197,0.4243,0.3725,0.4771,0.0596,0.1684,0.1362,0.1987,0.0940,0.3140,0.2693,0.3598,0.0734,0.5176,0.4755,0.5621,0.0422,0.2514,0.2103,0.2858,0.0762,0.3243,0.2810,0.3769,0.0800,270.8182,262.8042,278.5520,0.0143,258.8158,250.5418,267.0915,0.0162
C17201,0.3389,0.2904,0.3846,0.0686,0.2120,0.1824,0.2389,0.0675,0.3528,0.3120,0.3930,0.0585,0.4352,0.3983,0.4768,0.0448,0.3242,0.2870,0.3536,0.0529,0.3369,0.2981,0.3867,0.0707,262.6783,255.3382,270.3726,0.0145,247.5854,239.6930,255.7173,0.0164
C18041,0.2191,0.1716,0.2662,0.1055,0.2365,0.1993,0.2711,0.0766,0.4486,0.3997,0.4973,0.0557,0.3149,0.2710,0.3611,0.0724,0.3644,0.3219,0.4033,0.0539,0.4164,0.3688,0.4661,0.0571,254.0722,247.3263,260.9043,0.0136,239.0369,231.6574,246.3138,0.0155
C18097,0.3239,0.2798,0.3824,0.0775,0.2450,0.2125,0.2761,0.0647,0.3369,0.2913,0.3809,0.0666,0.4180,0.3776,0.4612,0.0501,0.3748,0.3312,0.4070,0.0506,0.3013,0.2580,0.3458,0.0724,261.7281,255.1069,268.6297,0.0131,243.9788,236.5277,251.4237,0.0156
C18139,0.2221,0.1672,0.2846,0.1362,0.2124,0.1709,0.2556,0.1011,0.4585,0.4011,0.5145,0.0639,0.3291,0.2784,0.3807,0.0807,0.3377,0.2792,0.3834,0.0757,0.4402,0.3829,0.4977,0.0631,256.8565,248.9804,264.8260,0.0155,241.3292,232.4105,250.2002,0.0184
C19153,0.4634,0.4138,0.5163,0.0562,0.1527,0.1219,0.1837,0.1006,0.2950,0.2495,0.3378,0.0751,0.5523,0.5123,0.5995,0.0390,0.2212,0.1824,0.2571,0.0826,0.3154,0.2673,0.3628,0.0742,278.1650,270.9753,285.9642,0.0139,266.0869,258.2950,274.6048,0.0154
C20191,0.3546,0.3024,0.3981,0.0665,0.1492,0.1190,0.1860,0.1124,0.3643,0.3182,0.4075,0.0618,0.4864,0.4443,0.5280,0.0427,0.2406,0.1967,0.2775,0.0802,0.4048,0.3607,0.4538,0.0587,267.7545,260.7045,274.6530,0.0136,253.2767,245.4348,260.7358,0.0155
C20209,0.1904,0.1465,0.2503,0.1435,0.3437,0.3062,0.3823,0.0564,0.3687,0.3153,0.4173,0.0704,0.2876,0.2411,0.3379,0.0839,0.4862,0.4275,0.5268,0.0565,0.3234,0.2701,0.3743,0.0777,241.5815,233.3690,250.0792,0.0179,221.3961,212.2936,230.5989,0.0207
C21005,0.3130,0.2604,0.3658,0.0810,0.1776,0.1443,0.2139,0.0987,0.4008,0.3519,0.4512,0.0630,0.4216,0.3723,0.4664,0.0563,0.2809,0.2416,0.3284,0.0753,0.4061,0.3519,0.4556,0.0644,265.2514,257.4964,272.8016,0.0146,252.0174,244.0375,260.0886,0.0164
C21053,0.1890,0.1305,0.2472,0.1524,0.3254,0.2728,0.3770,0.0806,0.4329,0.3652,0.4986,0.0786,0.2416,0.1866,0.3012,0.1201,0.4531,0.3997,0.5169,0.0630,0.3579,0.2856,0.4220,0.0946,245.0208,237.1935,253.3318,0.0168,232.3963,224.1010,241.1770,0.0188
C21057,0.2425,0.1839,0.2931,0.1093,0.2413,0.2011,0.2850,0.0873,0.4178,0.3638,0.4735,0.0671,0.3409,0.2877,0.3875,0.0741,0.3691,0.3164,0.4322,0.0748,0.3884,0.3304,0.4404,0.0709,253.3290,244.6202,261.1506,0.0164,238.8410,229.7811,246.9083,0.0183
C21071,0.2410,0.1776,0.3016,0.1246,0.3156,0.2593,0.3737,0.0921,0.3893,0.3145,0.4655,0.0973,0.2951,0.2340,0.3585,0.1085,0.4489,0.3963,0.5285,0.0774,0.3101,0.2243,0.3781,0.1231,247.2078,238.6871,255.7525,0.0176,231.7773,222.1342,241.1127,0.0207
C21073,0.3475,0.3007,0.3992,0.0714,0.1886,0.1586,0.2222,0.0857,0.3608,0.3147,0.4075,0.0636,0.4506,0.4048,0.4930,0.0484,0.2931,0.2558,0.3441,0.0697,0.3594,0.3069,0.4044,0.0672,267.2111,259.9226,274.8058,0.0139,254.1262,246.1950,262.4007,0.0160
C21113,0.3536,0.2772,0.3992,0.0811,0.2012,0.1688,0.2374,0.0864,0.3491,0.3010,0.3997,0.0704,0.4497,0.4028,0.4920,0.0500,0.3080,0.2720,0.3671,0.0823,0.3384,0.2809,0.3931,0.0778,262.7703,254.8090,269.7438,0.0143,249.4987,241.2494,257.2828,0.0165
