ID,Total Population,% Male,% Female,% Hispanic,% White,% Black,% Asian,% Native Americans,% Hawaiian/Pacific Islander,% Other,% Less Than High School,% High School/GED,% More Than High School,% Speak English Not Well,% Foreign-Born entered U.S. after 2010,% Foreign-Born entered U.S. 1990-2009,% Foreign-Born entered U.S. after 1990,% Foreign-Born entered U.S. before 1990,% Below 100 Poverty,% Below 150 Poverty,% SNAP/Food Stamps,Median HH Income,% Employed,% Unemployed,% Not in Labor Force,% Management/Professional Occupation,% Service Occupation,% Sales/Office Occupation,% Natural Resources/Construction/Maitanance Occupation,% Military Occupation,% Production/Transportation/Moving Occupation,% No Health Insurance
39041,193024,0.495,0.505,0.024,0.884,0.034,0.055,0.001,0.000,0.026,0.033,0.194,0.773,0.083,0.181,0.517,0.698,0.202,0.051,0.077,0.038,100229.000,0.648,0.018,0.173,0.534,0.121,0.236,0.044,0.000,0.065,0.040
39043,75369,0.491,0.509,0.042,0.861,0.085,0.006,0.002,0.000,0.046,0.084,0.380,0.536,0.154,0.105,0.269,0.373,0.448,0.130,0.213,0.141,51033.000,0.545,0.039,0.169,0.311,0.214,0.206,0.087,0.000,0.182,0.069
39045,151526,0.498,0.502,0.020,0.883,0.072,0.016,0.001,0.000,0.028,0.081,0.337,0.582,0.160,0.223,0.405,0.629,0.215,0.099,0.175,0.135,63424.000,0.569,0.031,0.212,0.365,0.169,0.250,0.080,0.000,0.135,0.057
39047,28659,0.489,0.511,0.020,0.940,0.020,0.008,0.000,0.001,0.031,0.129,0.478,0.393,0.292,0.174,0.570,0.743,0.083,0.177,0.274,0.179,44289.000,0.521,0.036,0.229,0.269,0.166,0.242,0.106,0.000,0.217,0.087
39049,1253507,0.488,0.512,0.052,0.677,0.220,0.048,0.002,0.000,0.053,0.094,0.250,0.656,0.182,0.263,0.498,0.761,0.149,0.167,0.250,0.139,56319.000,0.630,0.039,0.188,0.425,0.168,0.242,0.051,0.000,0.114,0.090
39051,42296,0.494,0.506,0.084,0.937,0.003,0.004,0.002,0.001,0.053,0.089,0.411,0.500,0.149,0.159,0.361,0.521,0.312,0.106,0.179,0.102,57774.000,0.590,0.039,0.164,0.278,0.155,0.215,0.123,0.000,0.229,0.049
39053,30203,0.490,0.510,0.013,0.945,0.028,0.007,0.005,0.001,0.015,0.190,0.400,0.410,0.071,0.312,0.239,0.551,0.150,0.209,0.305,0.220,42002.000,0.468,0.029,0.282,0.280,0.200,0.223,0.112,0.000,0.186,0.111
39055,93895,0.492,0.508,0.014,0.967,0.012,0.006,0.001,0.000,0.013,0.097,0.255,0.648,0.053,0.085,0.328,0.413,0.476,0.065,0.133,0.049,77104.000,0.581,0.021,0.165,0.409,0.145,0.236,0.098,0.000,0.112,0.103
39057,164825,0.492,0.508,0.027,0.862,0.069,0.030,0.001,0.000,0.038,0.072,0.248,0.680,0.114,0.256,0.296,0.551,0.208,0.123,0.189,0.093,65032.000,0.539,0.033,0.213,0.455,0.154,0.222,0.060,0.014,0.095,0.056
39059,39414,0.496,0.504,0.011,0.957,0.013,0.003,0.002,0.000,0.025,0.157,0.427,0.416,0.067,0.083,0.225,0.308,0.239,0.202,0.302,0.193,42744.000,0.491,0.047,0.233,0.278,0.178,0.228,0.122,0.000,0.194,0.090
