"mean","CI.lower","CI.upper","RMSE","CV","ID"
0.341062220358568,0.298693423885609,0.395571535363638,0.0252954787925528,0.0741667569218279,"C10003"
0.211184784282298,0.15286300322233,0.262163191663762,0.0279207483467355,0.13221003796094,"C11001"
0.336144734196444,0.288650532739266,0.385292902388934,0.0240368814975185,0.0715075354518904,"C12011"
0.309132465840311,0.258611887303047,0.354691595398529,0.0241225005702441,0.078032892807529,"C12039"
0.334095771357887,0.291145860934732,0.381225667064925,0.02265303333937,0.0678040109496143,"C12057"
0.327009916620646,0.256714203833282,0.399506620521102,0.0360059215704359,0.110106512800972,"C12086"
0.317996870854254,0.269475959261127,0.362517952145121,0.0241285088158966,0.0758765605179659,"C12095"
0.364803855788976,0.322121942607975,0.412080983702494,0.0212393263845592,0.0582212223021164,"C12103"
0.391660158112495,0.344645164660575,0.439367170619984,0.0229341003141553,0.0585561227996237,"C12127"
0.315444690609136,0.26473631662328,0.369661177247081,0.0252775596677454,0.0801330959761391,"C13021"
0.380764701199653,0.334347726768877,0.442557716282934,0.0306071846053328,0.0803834612528434,"C13035"
0.315328952704303,0.262293631599187,0.365030607322508,0.0252612535329546,0.0801107964121618,"C13051"
0.363610088384605,0.321958072933802,0.420915132654662,0.0271990961099106,0.0748029193324829,"C13077"
0.276838632599381,0.219669589504981,0.338040244411083,0.0298560719362127,0.107846479575046,"C13089"
0.270176111909488,0.223705577210549,0.328239283652285,0.0275131150995937,0.101834003402976,"C13121"
0.363210155011527,0.316366801996288,0.420988863496757,0.0309109845252958,0.085104956727641,"C13129"
0.449220895029513,0.399000847853423,0.503444816807669,0.027141646318788,0.0604193763449157,"C13149"
0.390753146925935,0.348370665834664,0.447729006516105,0.028037165736229,0.0717516057306207,"C13171"
0.346698788478362,0.278514197066259,0.425472710707334,0.0411740537058952,0.118760304547372,"C13213"
0.440630256826721,0.370132261957854,0.516979055862034,0.0357433175327851,0.0811186181135111,"C13319"
0.327571518048177,0.277919780192807,0.380263865277857,0.0251426484587506,0.0767546843161523,"C15003"
0.437697371725945,0.381804160275411,0.50709358253781,0.0349355481229813,0.0798166732992298,"C17013"
0.273422909986087,0.238310670893399,0.319013307283463,0.0214420414794799,0.0784207931975085,"C17031"
0.292806409700389,0.253125338210986,0.345501323314417,0.0257912277235302,0.0880828659110325,"C17043"
0.420776914389165,0.376495077297824,0.477121508213516,0.0276599417008312,0.0657354069459459,"C17075"
0.396639052625433,0.353441010959681,0.449814065228269,0.0269820172035904,0.0680266277992322,"C17083"
0.325494151671241,0.282014511754693,0.380720958314517,0.0259391121474938,0.0796914845145761,"C17113"
0.382522465250885,0.340734642804396,0.438244782451684,0.0256237733965504,0.0669863229594752,"C17129"
0.323879273914542,0.286111860009336,0.373725927357459,0.0230956543364399,0.0713094544683148,"C17167"
0.324305562678724,0.281040057900288,0.376877354063347,0.0259568251847212,0.0800381744004667,"C17197"
0.336911177244962,0.298072417026095,0.386695057023306,0.0238106355367366,0.0706733321566958,"C17201"
0.416413889371627,0.36881414142609,0.466127730987691,0.0237919211158671,0.05713527267731,"C18041"
0.301289773360686,0.258026271852875,0.345783837041363,0.0218115550926171,0.0723939443723024,"C18097"
0.440209899929666,0.382902547096445,0.497711381779901,0.0277677529852617,0.0630784382397994,"C18139"
